quarter,supplier_name,avg_negotiated_price,avg_price_charged,avg_savings_per_unit
2025-07-01 00:00:00+05:30,Davis-Williams,190.7776923076923077,257.2115384615384615,-66.4338461538461538
2024-01-01 00:00:00+05:30,"Romero, Gonzalez and Brooks",198.8600000000000000,59.2275000000000000,139.6325000000000000
2025-07-01 00:00:00+05:30,"Garcia, Yang and Gardner",204.2920000000000000,147.4980000000000000,56.7940000000000000
2024-01-01 00:00:00+05:30,Anderson Group,178.2600000000000000,61.0366666666666667,117.2233333333333333
2026-01-01 00:00:00+05:30,Baker and Sons,199.2600000000000000,20.3900000000000000,178.8700000000000000
2024-07-01 00:00:00+05:30,"Romero, Gonzalez and Brooks",198.8600000000000000,47.6050000000000000,151.2550000000000000
2024-04-01 00:00:00+05:30,Clark PLC,182.5390909090909091,183.0709090909090909,-0.53181818181818181818
2024-10-01 00:00:00+05:30,Trujillo Group,181.9500000000000000,137.0850000000000000,44.8650000000000000
2025-10-01 00:00:00+05:30,"Guzman, Hoffman and Baldwin",199.4833333333333333,39.5344444444444444,159.9488888888888889
2026-01-01 00:00:00+05:30,"Le, Maldonado and Herrera",194.4266666666666667,523.0300000000000000,-328.6033333333333333
2025-10-01 00:00:00+05:30,"Baker, Richards and Hurst",185.0858333333333333,106.1875000000000000,78.8983333333333333
2025-01-01 00:00:00+05:30,Burton Ltd,197.2500000000000000,126.1760000000000000,71.0740000000000000
2024-01-01 00:00:00+05:30,Baker and Sons,188.5933333333333333,87.3800000000000000,101.2133333333333333
2025-07-01 00:00:00+05:30,Blair PLC,197.2500000000000000,57.6420000000000000,139.6080000000000000
2024-10-01 00:00:00+05:30,"Brown, James and Ferrell",188.3900000000000000,402.9866666666666667,-214.5966666666666667
2024-01-01 00:00:00+05:30,"Lee, Jones and Stanley",207.7100000000000000,272.8500000000000000,-65.1400000000000000
2025-04-01 00:00:00+05:30,"Baker, Richards and Hurst",180.6150000000000000,82.5300000000000000,98.0850000000000000
2025-10-01 00:00:00+05:30,Burton Ltd,197.2500000000000000,158.0825000000000000,39.1675000000000000
2025-04-01 00:00:00+05:30,"Reid, Ferguson and Sanchez",204.9000000000000000,544.9000000000000000,-340.0000000000000000
2025-07-01 00:00:00+05:30,"Le, Maldonado and Herrera",193.0980000000000000,394.8560000000000000,-201.7580000000000000
2026-01-01 00:00:00+05:30,"Baker, Richards and Hurst",182.2025000000000000,80.0850000000000000,102.1175000000000000
2024-04-01 00:00:00+05:30,"Peterson, Carter and Moore",190.7537500000000000,177.8550000000000000,12.8987500000000000
2024-07-01 00:00:00+05:30,Maddox-Valencia,191.8100000000000000,529.1800000000000000,-337.3700000000000000
2024-01-01 00:00:00+05:30,Chavez-Flowers,203.2900000000000000,89.0387500000000000,114.2512500000000000
2025-07-01 00:00:00+05:30,Burton Ltd,197.2500000000000000,62.0383333333333333,135.2116666666666667
2025-01-01 00:00:00+05:30,"Ashley, Nielsen and Sellers",196.8400000000000000,53.0820000000000000,143.7580000000000000
2026-01-01 00:00:00+05:30,Johnson and Sons,186.1800000000000000,148.6688888888888889,37.5111111111111111
2024-10-01 00:00:00+05:30,Nelson-Schaefer,205.3000000000000000,109.9900000000000000,95.3100000000000000
2025-01-01 00:00:00+05:30,"Brown, James and Ferrell",188.3900000000000000,495.6166666666666667,-307.2266666666666667
2024-04-01 00:00:00+05:30,"Garcia, Yang and Gardner",192.1150000000000000,116.5125000000000000,75.6025000000000000
2024-07-01 00:00:00+05:30,Brown PLC,204.6900000000000000,222.8180000000000000,-18.1280000000000000
2024-04-01 00:00:00+05:30,Robinson-Bright,190.6928571428571429,210.3607142857142857,-19.6678571428571429
2024-07-01 00:00:00+05:30,"Reid, Ferguson and Sanchez",195.3033333333333333,425.3044444444444444,-230.0011111111111111
2024-10-01 00:00:00+05:30,Robinson-Lawrence,189.4000000000000000,136.4421428571428571,52.9578571428571429
2026-01-01 00:00:00+05:30,"Rodriguez, Figueroa and Sanchez",177.5200000000000000,416.5100000000000000,-238.9900000000000000
2024-07-01 00:00:00+05:30,"Le, Maldonado and Herrera",191.6088888888888889,161.6566666666666667,29.9522222222222222
2024-04-01 00:00:00+05:30,"Romero, Gonzalez and Brooks",198.8600000000000000,64.4900000000000000,134.3700000000000000
2025-01-01 00:00:00+05:30,Clark PLC,184.9033333333333333,211.7666666666666667,-26.8633333333333333
2024-10-01 00:00:00+05:30,"Peterson, Carter and Moore",190.6635000000000000,119.7580000000000000,70.9055000000000000
2025-10-01 00:00:00+05:30,"Rodriguez, Figueroa and Sanchez",177.5200000000000000,207.8914285714285714,-30.3714285714285714
2024-04-01 00:00:00+05:30,Davis-Williams,190.2550000000000000,149.6737500000000000,40.5812500000000000
2024-04-01 00:00:00+05:30,Bernard LLC,207.5925000000000000,327.9305000000000000,-120.3380000000000000
2025-01-01 00:00:00+05:30,Rios Group,202.6800000000000000,137.7328571428571429,64.9471428571428571
2025-04-01 00:00:00+05:30,"Peterson, Carter and Moore",189.6633333333333333,27.3633333333333333,162.3000000000000000
2025-01-01 00:00:00+05:30,Trujillo Group,181.9500000000000000,127.0030000000000000,54.9470000000000000
2024-01-01 00:00:00+05:30,Blair PLC,197.2500000000000000,45.8700000000000000,151.3800000000000000
2024-04-01 00:00:00+05:30,Rios Group,202.6800000000000000,164.8125000000000000,37.8675000000000000
2025-07-01 00:00:00+05:30,"Lee, Jones and Stanley",180.3875000000000000,76.6800000000000000,103.7075000000000000
2024-04-01 00:00:00+05:30,"Reid, Ferguson and Sanchez",200.1016666666666667,559.7616666666666667,-359.6600000000000000
2026-01-01 00:00:00+05:30,"Guzman, Hoffman and Baldwin",202.6825000000000000,278.5475000000000000,-75.8650000000000000
2024-07-01 00:00:00+05:30,"Brown, James and Ferrell",188.3900000000000000,282.5950000000000000,-94.2050000000000000
2025-07-01 00:00:00+05:30,Chavez-Flowers,203.2900000000000000,53.9169230769230769,149.3730769230769231
2026-01-01 00:00:00+05:30,Robinson-Bright,189.6585714285714286,92.7757142857142857,96.8828571428571429
2024-07-01 00:00:00+05:30,"Lee, Jones and Stanley",193.1380000000000000,81.7240000000000000,111.4140000000000000
2026-01-01 00:00:00+05:30,Smith-Hickman,192.2200000000000000,44.4628571428571429,147.7571428571428571
2025-04-01 00:00:00+05:30,Wyatt Inc,203.2900000000000000,423.5600000000000000,-220.2700000000000000
2024-10-01 00:00:00+05:30,Burton Ltd,197.2500000000000000,130.7360000000000000,66.5140000000000000
2025-04-01 00:00:00+05:30,Burton Ltd,197.2500000000000000,103.1200000000000000,94.1300000000000000
2024-01-01 00:00:00+05:30,Wyatt Inc,203.2900000000000000,35.5600000000000000,167.7300000000000000
2025-04-01 00:00:00+05:30,Maddox-Valencia,191.8100000000000000,641.6266666666666667,-449.8166666666666667
2024-07-01 00:00:00+05:30,Dennis Inc,202.6133333333333333,19.0900000000000000,183.5233333333333333
2024-04-01 00:00:00+05:30,Robinson-Lawrence,189.4000000000000000,98.0311111111111111,91.3688888888888889
2025-01-01 00:00:00+05:30,Davis-Williams,193.0233333333333333,68.5866666666666667,124.4366666666666667
2024-07-01 00:00:00+05:30,Miller-Carter,180.7400000000000000,390.6190000000000000,-209.8790000000000000
2025-10-01 00:00:00+05:30,"Brown, James and Ferrell",188.3900000000000000,199.1411111111111111,-10.7511111111111111
2024-10-01 00:00:00+05:30,Miller-Carter,180.7400000000000000,221.4520000000000000,-40.7120000000000000
2025-01-01 00:00:00+05:30,Blair PLC,197.2500000000000000,32.4980000000000000,164.7520000000000000
